Name,Tags,Server end time,File name,Duration,User Name,n_rnn_layers,Epochs,rnn_dim,n_cnn_layers,n_feats,Batch size,Learning Rate,train_curr_step,imag
no_label_hk_0.01,,1740149437484,main.py,3088,gena0324,4,50,768,4,128,2,1.0E-5,7750,0.0
dann_ssl_3_dann_ssl_W2V2_asr_us4k_hk1k_lr0.00001_0619,,1740142376699,main.py,42219,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
fine_tuning_kr_phone_10000_0108,,1736419146167,main.py,23913,gena0324,4,30,1024,4,128,2,1.0E-5,77499,
fine_tuning_kr_phone_1000_0108,,1736404919498,main.py,3115,gena0324,4,3,1024,4,128,2,1.0E-5,9999,
fine_tuning_kr_phone_10000_0108,,1736395036437,main.py,2390,gena0324,4,2,1024,4,128,2,1.0E-5,7499,
fine_tuning_kr_phone_10000_0108,,1736392532696,main.py,106,gena0324,4,2,1024,4,128,2,1.0E-5,149,
128_arranged_bce_dp0.1_w2v_base_hb_base_us4k_l4_0.0001_0909,,1725982829636,main.py,123766,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_hb_base_us4k_l4_0.01_0906,,1725787121387,main.py,121832,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_hb_base_us4k_l4_0.01_0906,,1725656602708,main.py,30569,gena0324,4,50,768,4,128,2,1.0E-5,25791,0.0
128_arranged_bce_dp0.1_w2v_base_hb_base_us4k_l4_0.001_domain_loss_change_0819_bcweight,,1725618393031,main.py,120096,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_hb_base_us4k_l4_0.001_domain_loss_change_0819_bcweight,,1725251873610,main.py,365182,gena0324,4,50,768,4,128,2,1.0E-5,57999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_HK1K_0.05_domain_loss_change_0819_bcweight,,1724070045519,main.py,47325,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
